code,prob,close,date,name
603799,0.37113583095169167,40.2,2026-08-24,华友钴业
600803,0.3642124450606322,17.58,2026-08-24,新奥股份
300896,0.3623191326145978,91.4,2026-08-24,爱美客
600600,0.35826985211260104,50.72,2026-08-24,青岛啤酒
300408,0.3553814996250652,108.94,2026-08-24,三环集团
601628,0.3501205117486302,37.64,2026-08-24,中国人寿
002028,0.34956143364365805,175.2,2026-08-24,思源电气
601390,0.33746225910736977,4.36,2026-08-24,中国中铁
000338,0.336774726262461,26.99,2026-08-24,潍柴动力
002236,0.3351068335557738,16.1,2026-08-24,大华股份
000063,0.3346477275876581,33.13,2026-08-24,中兴通讯
000938,0.3325911462117516,34.49,2026-08-24,紫光股份
601138,0.3321874098730088,60.4,2026-08-24,工业富联
600887,0.32644714571245914,25.84,2026-08-24,伊利股份
600221,0.32410110313938933,1.3,2026-08-24,海航控股
600027,0.3239025554713561,4.55,2026-08-24,华电国际
002600,0.32052524580464953,12.08,2026-08-24,领益智造
002463,0.31388600407534356,115.57,2026-08-24,沪电股份
688521,0.3100865258686171,168.66,2026-08-24,芯原股份
000333,0.3057766412624238,85.99,2026-08-24,美的集团
002371,0.3044086407815657,707.9,2026-08-24,北方华创
601788,0.29476820229579254,14.25,2026-08-24,光大证券
600009,0.2914460672157068,23.17,2026-08-24,上海机场
601100,0.28908709448923736,105.11,2026-08-24,恒立液压
300502,0.28747675327271044,412.0,2026-08-24,新易盛
601985,0.2769482502077354,8.77,2026-08-24,中国核电
600029,0.2760800450109789,5.03,2026-08-24,南方航空
601059,0.27191442652885556,16.53,2026-08-24,信达证券
600588,0.2704746067361662,10.13,2026-08-24,用友网络
603260,0.2697505062553574,33.63,2026-08-24,合盛硅业
688183,0.2674252131534663,102.3,2026-08-24,生益电子
600372,0.26647346556881896,10.82,2026-08-24,中航机载
003816,0.2609617692209236,3.88,2026-08-24,中国广核
300628,0.25678919403692546,42.18,2026-08-24,亿联网络
601857,0.25483414434315793,11.17,2026-08-24,中国石油
600233,0.25403068379808913,17.3,2026-08-24,圆通速递
001391,0.25177052902467817,4.09,2026-08-24,国货航
601899,0.2514342684319546,34.54,2026-08-24,紫金矿业
600050,0.24707563904601101,4.25,2026-08-24,中国联通
600219,0.246709246912265,4.8,2026-08-24,南山铝业
601318,0.24437755839030983,54.92,2026-08-24,中国平安
301269,0.23982418795980637,91.25,2026-08-24,华大九天
600176,0.23780397160081737,39.87,2026-08-24,中国巨石
000301,0.2363901356195847,13.34,2026-08-24,东方盛虹
000977,0.23123111267942317,73.22,2026-08-24,浪潮信息
601225,0.22667454915188157,26.5,2026-08-24,陕西煤业
000568,0.20172513126959415,85.51,2026-08-24,泸州老窖
600188,0.2011654078818273,21.83,2026-08-24,兖矿能源
600115,0.20012052195963825,3.48,2026-08-24,中国东航
300418,0.1928299887884167,40.54,2026-08-24,昆仑万维
002050,0.18760941302168246,35.71,2026-08-24,三花智控
600926,0.1850927339106269,16.82,2026-08-24,杭州银行
600048,0.18243683960388057,5.06,2026-08-24,保利发展
600795,0.18070801223026225,5.16,2026-08-24,国电电力
601288,0.17980314271151127,6.86,2026-08-24,农业银行
600019,0.17973561270613017,5.86,2026-08-24,宝钢股份
600918,0.17584231166384615,5.59,2026-08-24,中泰证券
600519,0.1720323775462017,1304.66,2026-08-24,贵州茅台
601136,0.1691208693151408,13.7,2026-08-24,首创证券
601066,0.16602428641980913,24.79,2026-08-24,中信建投
601117,0.16286937054381334,7.5,2026-08-24,中国化学
600760,0.1582341066161788,45.06,2026-08-24,中航沈飞
603392,0.1550021650255267,28.09,2026-08-24,万泰生物
000625,0.1502198739644467,7.05,2026-08-24,长安汽车
600028,0.14688071643211864,5.33,2026-08-24,中国石化
002230,0.14321707850540324,38.93,2026-08-24,科大讯飞
000651,0.14287957833966594,41.45,2026-08-24,格力电器
300413,0.1406924119909978,13.98,2026-08-24,芒果超媒
600436,0.1386331321017931,123.76,2026-08-24,片仔癀
600547,0.1373837202513544,36.5,2026-08-24,山东黄金
600015,0.13671049754917153,6.85,2026-08-24,华夏银行
300033,0.13505580472086076,216.72,2026-08-24,同花顺
000895,0.13471271346205269,25.38,2026-08-24,双汇发展
600690,0.13279578939263542,20.94,2026-08-24,海尔智家
601012,0.13030741864836887,12.15,2026-08-24,隆基绿能
300014,0.12638957579646043,55.82,2026-08-24,亿纬锂能
001979,0.1262339570080747,7.24,2026-08-24,招商蛇口
601088,0.11395716809049562,46.89,2026-08-24,中国神华
601377,0.11338765841627521,5.81,2026-08-24,兴业证券
600023,0.11264419551532495,4.86,2026-08-24,浙能电力
600000,0.10996556751666248,9.22,2026-08-24,浦发银行
600025,0.10884066787925285,9.68,2026-08-24,华能水电
601077,0.10687478520316007,7.04,2026-08-24,渝农商行
600941,0.10406604636098758,97.53,2026-08-24,中国移动
601601,0.10049344216307748,31.03,2026-08-24,中国太保
600018,0.09923142762995983,5.24,2026-08-24,上港集团
601901,0.09180385885144018,6.65,2026-08-24,方正证券
600905,0.0906145594569458,3.7,2026-08-24,三峡能源
601633,0.09028431307194858,15.21,2026-08-24,长城汽车
002202,0.08552389791745167,18.3,2026-08-24,金风科技
300274,0.08458263444792484,111.5,2026-08-24,阳光电源
600570,0.08138766736430586,21.14,2026-08-24,恒生电子
302132,0.08057020299866058,56.7,2026-08-24,中航成飞
600900,0.07761409488357976,28.15,2026-08-24,长江电力
688506,0.07602319788212357,264.98,2026-08-24,百利天恒
600919,0.07592519374401481,12.13,2026-08-24,江苏银行
600674,0.07238455836749023,15.59,2026-08-24,川投能源
600515,0.07041680817094671,2.75,2026-08-24,海南机场
601618,0.06876481538284995,2.56,2026-08-24,中国中冶
000002,0.06826676748010152,3.05,2026-08-24,万科A
300498,0.06727344196942421,13.66,2026-08-24,温氏股份
600183,0.06669191192300561,126.3,2026-08-24,生益科技
601018,0.06667496423068879,3.43,2026-08-24,宁波港
601800,0.06582694430790242,5.87,2026-08-24,中国交建
600030,0.0653116146785097,27.27,2026-08-24,中信证券
688111,0.0645905553579016,233.3,2026-08-24,金山办公
002594,0.0630385077978292,90.66,2026-08-24,比亚迪
002736,0.058318178019099706,9.83,2026-08-24,国信证券
600845,0.055852064335762217,17.15,2026-08-24,宝信软件
601825,0.05550821566894505,8.91,2026-08-24,沪农商行
601881,0.053912746104741366,12.03,2026-08-24,中国银河
600809,0.05085200367139993,117.1,2026-08-24,山西汾酒
601816,0.05081265882368128,4.91,2026-08-24,京沪高铁
