code,date,close,prob,name,group
601018,2026-08-26,3.49,0.4447438630085289,宁波港,hold
601668,2026-08-26,4.48,0.4446294940791929,中国建筑,hold
002648,2026-08-26,26.36,0.4442696701923551,卫星化学,hold
301269,2026-08-26,94.3,0.4441517090895701,华大九天,hold
603986,2026-08-26,392.5,0.44414981998710806,兆易创新,hold
605499,2026-08-26,121.3,0.44362579626867843,东鹏饮料,hold
600588,2026-08-26,10.06,0.44337762199531405,用友网络,hold
600690,2026-08-26,21.15,0.44257978501513207,海尔智家,hold
000301,2026-08-26,13.13,0.44095376434142647,东方盛虹,hold
000988,2026-08-26,103.8,0.44067096900286007,华工科技,hold
688396,2026-08-26,57.8,0.44058967941183685,华润微,hold
000895,2026-08-26,25.07,0.43966801116309284,双汇发展,hold
601628,2026-08-26,38.58,0.4390940388020771,中国人寿,hold
688256,2026-08-26,1020.0,0.4382333766138121,寒武纪,hold
002050,2026-08-26,36.14,0.43799149589250125,三花智控,hold
000725,2026-08-26,5.72,0.43791737384808854,京东方A,hold
601127,2026-08-26,50.61,0.4374243453567872,赛力斯,hold
300033,2026-08-26,223.09,0.43723062617422387,同花顺,hold
002938,2026-08-26,87.3,0.4371428395704468,鹏鼎控股,hold
600905,2026-08-26,3.74,0.43712506254962874,三峡能源,hold
000630,2026-08-26,6.75,0.43676686384553454,铜陵有色,hold
600196,2026-08-26,22.86,0.43665176602522215,复星医药,hold
600522,2026-08-26,33.41,0.4356918861471279,中天科技,hold
601872,2026-08-26,18.38,0.4356658976184082,招商轮船,hold
600460,2026-08-26,33.07,0.43537855706052353,士兰微,hold
600482,2026-08-26,32.09,0.4350410387302947,中国动力,hold
601111,2026-08-26,5.96,0.43486297217374986,中国国航,hold
601868,2026-08-26,2.53,0.4339232012791742,中国能建,hold
600893,2026-08-26,36.7,0.4339140410900681,航发动力,hold
600436,2026-08-26,127.4,0.43274530808691897,片仔癀,hold
002460,2026-08-26,53.5,0.4305663315219298,赣锋锂业,hold
301308,2026-08-26,364.2,0.4305521949449406,江波龙,hold
601066,2026-08-26,25.27,0.43030017554897415,中信建投,hold
601456,2026-08-26,8.88,0.4302398832130583,国联民生,hold
601698,2026-08-26,24.11,0.43016343554365705,中国卫通,hold
603392,2026-08-26,30.91,0.42890343829483496,万泰生物,hold
600115,2026-08-26,3.6,0.42800782818185523,中国东航,hold
301165,2026-08-26,115.06,0.4268753205627668,锐捷网络,hold
000100,2026-08-26,4.91,0.4265781531732704,TCL科技,hold
002353,2026-08-26,137.5,0.4265172601760468,杰瑞股份,hold
688981,2026-08-26,124.15,0.42645169426252505,中芯国际,hold
300418,2026-08-26,39.7,0.42594086302237305,昆仑万维,hold
300059,2026-08-26,19.36,0.4254237843667718,东方财富,hold
002493,2026-08-26,13.76,0.4253083509318338,荣盛石化,hold
600150,2026-08-26,34.11,0.42476729196463153,中国船舶,hold
300274,2026-08-26,112.62,0.42203918546496527,阳光电源,hold
600221,2026-08-26,1.31,0.420739322078711,海航控股,Q1_avoid
300442,2026-08-26,62.33,0.4185211332322723,润泽科技,Q1_avoid
301236,2026-08-26,36.93,0.4172337204037051,软通动力,Q1_avoid
600111,2026-08-26,40.07,0.4165047552871608,北方稀土,Q1_avoid
302132,2026-08-26,57.67,0.4160299133395639,中航成飞,Q1_avoid
688521,2026-08-26,180.5,0.4150478875755434,芯原股份,Q1_avoid
002422,2026-08-26,43.64,0.4137229810658426,科伦药业,Q1_avoid
300408,2026-08-26,108.69,0.41225772222638435,三环集团,Q1_avoid
000938,2026-08-26,34.9,0.41109501974297713,紫光股份,Q1_avoid
600048,2026-08-26,5.26,0.4108368897890651,保利发展,Q1_avoid
600176,2026-08-26,39.5,0.40986066385924613,中国巨石,Q1_avoid
688082,2026-08-26,294.5,0.4092615519318705,盛美上海,Q1_avoid
000408,2026-08-26,79.29,0.4080031380186976,藏格矿业,Q1_avoid
002241,2026-08-26,23.82,0.4065106986288508,歌尔股份,Q1_avoid
600845,2026-08-26,17.45,0.40623811575965346,宝信软件,Q1_avoid
002602,2026-08-26,13.95,0.4060078083620134,世纪华通,Q1_avoid
300661,2026-08-26,113.51,0.4031323999424576,圣邦股份,Q1_avoid
002028,2026-08-26,170.49,0.402350334617254,思源电气,Q1_avoid
688008,2026-08-26,201.0,0.4018248756091803,澜起科技,Q1_avoid
002304,2026-08-26,39.91,0.40138638285436923,洋河股份,Q1_avoid
300308,2026-08-26,850.9,0.40123312623820684,中际旭创,Q1_avoid
000651,2026-08-26,41.58,0.40104597167992717,格力电器,Q1_avoid
300866,2026-08-26,124.89,0.4004125095865989,安克创新,Q1_avoid
300476,2026-08-26,249.44,0.39944798570152534,胜宏科技,Q1_avoid
002709,2026-08-26,36.78,0.3983624549910742,天赐材料,Q1_avoid
600584,2026-08-26,73.62,0.39811046158066543,长电科技,Q1_avoid
300124,2026-08-26,61.9,0.3980731274756428,汇川技术,Q1_avoid
002594,2026-08-26,92.09,0.39780121384481026,比亚迪,Q1_avoid
002463,2026-08-26,119.22,0.39714100896849064,沪电股份,Q1_avoid
600183,2026-08-26,130.01,0.3966675063379413,生益科技,Q1_avoid
000338,2026-08-26,27.03,0.3957302587681753,潍柴动力,Q1_avoid
601186,2026-08-26,6.12,0.3936487252418217,中国铁建,Q1_avoid
601360,2026-08-26,8.67,0.3891137269715271,三六零,Q1_avoid
688111,2026-08-26,233.03,0.387646260244779,金山办公,Q1_avoid
600941,2026-08-26,98.45,0.38724144168075675,中国移动,Q1_avoid
600362,2026-08-26,48.57,0.386090609055694,江西铜业,Q1_avoid
002475,2026-08-26,57.11,0.38605087743731376,立讯精密,Q1_avoid
600118,2026-08-26,60.2,0.38434807377134556,中国卫星,Q1_avoid
601618,2026-08-26,2.64,0.3829500231867416,中国中冶,Q1_avoid
605117,2026-08-26,96.5,0.3826132461185763,德业股份,Q1_avoid
688012,2026-08-26,368.05,0.3821630904534556,中微公司,Q1_avoid
688047,2026-08-26,103.01,0.3733517837384533,龙芯中科,Q1_avoid
600938,2026-08-26,33.33,0.37316685665611043,中国海油,Q1_avoid
002236,2026-08-26,16.23,0.37280507872314744,大华股份,Q1_avoid
000657,2026-08-26,63.01,0.36743349115024987,中钨高新,Q1_avoid
002230,2026-08-26,39.66,0.36383359460930625,科大讯飞,Q1_avoid
688072,2026-08-26,675.06,0.35625772470682243,拓荆科技,Q1_avoid
000063,2026-08-26,33.54,0.35150087038476746,中兴通讯,Q1_avoid
600958,2026-08-26,9.13,0.34911886531903513,东方证券,Q1_avoid
000333,2026-08-26,86.39,0.34572849693542174,美的集团,Q1_avoid
300760,2026-08-26,161.05,0.34256738749038435,迈瑞医疗,Q1_avoid
002384,2026-08-26,194.36,0.3378825004844613,东山精密,Q1_avoid
300750,2026-08-26,379.0,0.31575568020202854,宁德时代,Q1_avoid
601077,2026-08-26,6.89,0.2866889943658488,渝农商行,Q1_avoid
601138,2026-08-26,60.57,0.28420078996106196,工业富联,Q1_avoid
601857,2026-08-26,11.01,0.27760339002615,中国石油,Q1_avoid
002837,2026-08-26,62.07,0.25237626213711445,英维克,Q1_avoid
600406,2026-08-26,23.42,0.251488327242556,国电南瑞,Q1_avoid
002415,2026-08-26,34.78,0.24860145156156754,海康威视,Q1_avoid
600519,2026-08-26,1302.8,0.24437176550431086,贵州茅台,Q1_avoid
