code,date,close,prob,prob_std,name,group
601111,2026-08-26,5.96,0.3807001552567031,0.025490636574704788,中国国航,hold
600887,2026-08-26,26.1,0.3785543840893975,0.04090145506541248,伊利股份,hold
601377,2026-08-26,5.93,0.37845294074891506,0.0391251441948826,兴业证券,hold
600690,2026-08-26,21.15,0.37758148149539167,0.06272891953531547,海尔智家,hold
600905,2026-08-26,3.74,0.37755144222908266,0.028396624426946206,三峡能源,hold
603392,2026-08-26,30.91,0.3765230192558417,0.036181386931000446,万泰生物,hold
600050,2026-08-26,4.31,0.37649139946025817,0.03502071322191859,中国联通,hold
300803,2026-08-26,83.18,0.3754120567813949,0.03862076221251834,指南针,hold
600160,2026-08-26,38.15,0.37426759193997255,0.03655403241106477,巨化股份,hold
601009,2026-08-26,11.72,0.3727601197043064,0.043664904676508604,南京银行,hold
002371,2026-08-26,700.7,0.37249429937113504,0.04202912001437936,北方华创,hold
601136,2026-08-26,14.09,0.3712317572621539,0.05296278483131831,首创证券,hold
000630,2026-08-26,6.75,0.3712170626368249,0.034059096473502935,铜陵有色,hold
600276,2026-08-26,46.74,0.3705202481176503,0.041099454873338964,恒瑞医药,hold
300316,2026-08-26,43.47,0.3698905392233591,0.044192425740752585,晶盛机电,hold
600023,2026-08-26,4.95,0.3691612982933918,0.03506440401557674,浙能电力,hold
301165,2026-08-26,115.06,0.3688522121494017,0.03417054477757232,锐捷网络,hold
603369,2026-08-26,28.1,0.3686476750419708,0.06228654709501089,今世缘,hold
000792,2026-08-26,28.15,0.36848849982826104,0.05082643870264852,盐湖股份,hold
601877,2026-08-26,25.97,0.3682967416732655,0.0530331313058761,正泰电器,hold
002920,2026-08-26,86.11,0.3643798023955637,0.021216513259581203,德赛西威,hold
002938,2026-08-26,87.3,0.36418308212944017,0.03927339911743475,鹏鼎控股,hold
601838,2026-08-26,18.79,0.36344555536640916,0.024386545457310466,成都银行,hold
002466,2026-08-26,47.56,0.36267729889227135,0.04262456469969542,天齐锂业,hold
002027,2026-08-26,4.98,0.3621739148408643,0.03389189820618569,分众传媒,hold
688036,2026-08-26,57.82,0.36205750724209756,0.03888536102162163,传音控股,hold
002463,2026-08-26,119.22,0.36048893571658513,0.03205868452242486,沪电股份,hold
601825,2026-08-26,8.97,0.35788389222597966,0.03822398219542568,沪农商行,hold
002602,2026-08-26,13.95,0.35669776128307185,0.028935609597359344,世纪华通,hold
000301,2026-08-26,13.13,0.35633260646502923,0.02963590443931606,东方盛虹,hold
300394,2026-08-26,253.58,0.35526434394721707,0.07058854119882561,天孚通信,hold
002353,2026-08-26,137.5,0.35262055238350837,0.0259901151326102,杰瑞股份,hold
601012,2026-08-26,12.28,0.3524016994634859,0.029685308139555777,隆基绿能,hold
601618,2026-08-26,2.64,0.35217911411076874,0.03125170954559746,中国中冶,hold
