code,date,close,turnover,prob,name,group
000729,2026-09-11,11.01,0.92256,0.47248187538966496,燕京啤酒,hold
601865,2026-09-11,9.47,0.812955,0.47244729725965373,福莱特,hold
000997,2026-09-11,19.6,2.83464,0.4715091239399223,新大陆,hold
002831,2026-09-11,29.08,1.5908349999999998,0.4714408634210162,裕同科技,hold
603087,2026-09-11,66.34,1.6824099999999997,0.471400902628292,甘李药业,hold
002153,2026-09-11,7.64,1.5987050000000003,0.47124792328371995,石基信息,hold
000050,2026-09-11,6.45,0.790855,0.4710283133814851,深天马A,hold
600339,2026-09-11,3.34,1.036015,0.47094122096943136,中油工程,hold
300458,2026-09-11,29.4,5.212085,0.4708471672810471,全志科技,hold
603659,2026-09-11,21.38,1.1283800000000002,0.47036268767845524,璞泰来,hold
000513,2026-09-11,26.62,1.36029,0.4702326518670537,丽珠集团,hold
601799,2026-09-11,71.68,1.8913550000000001,0.469344410236812,星宇股份,hold
601099,2026-09-11,3.43,2.212485,0.46857357609206146,太平洋,hold
002568,2026-09-11,17.15,1.37921,0.46844781906101196,百润股份,hold
601155,2026-09-11,11.63,1.106195,0.46752559875396665,新城控股,hold
002195,2026-09-11,6.11,1.659825,0.46737438580541707,岩山科技,hold
600497,2026-09-11,9.81,2.6786299999999996,0.46724850489535125,驰宏锌锗,hold
600435,2026-09-11,11.94,1.9845700000000002,0.467243975486421,北方导航,hold
688778,2026-09-11,42.05,1.135735,0.46713554257071044,厦钨新能,hold
002423,2026-09-11,9.36,1.189325,0.46699765384117786,中粮资本,hold
002683,2026-09-11,29.06,1.28942,0.46688473113374884,广东宏大,hold
688099,2026-09-11,84.89,2.10086,0.4666249586428831,晶晨股份,hold
603979,2026-09-11,75.0,1.327,0.4666178411265771,金诚信,hold
300957,2026-09-11,30.97,1.688045,0.466413357949882,贝泰妮,hold
688037,2026-09-11,312.0,2.353045,0.46628915096024753,芯源微,hold
600348,2026-09-11,9.13,0.997185,0.46625623218527307,华阳股份,hold
000783,2026-09-11,8.5,2.142585,0.46612424455166046,长江证券,hold
601128,2026-09-11,6.41,1.5555150000000002,0.4658770707432744,常熟银行,hold
600816,2026-09-11,2.42,1.334055,0.46577528275651764,建元信托,hold
688180,2026-09-11,31.14,2.19467,0.4652187268935706,君实生物,hold
600378,2026-09-11,45.39,6.080915,0.4651193631834632,昊华科技,hold
600763,2026-09-11,32.75,1.93268,0.46510029920636503,通策医疗,hold
300735,2026-09-11,17.7,1.8034399999999997,0.4647140590956437,光弘科技,hold
002797,2026-09-11,6.28,1.21214,0.4647090930909864,第一创业,hold
603156,2026-09-11,40.79,1.219795,0.46464740928783926,养元饮品,hold
300454,2026-09-11,127.91,5.26363,0.4644110519832452,深信服,hold
601665,2026-09-11,7.15,0.9551300000000007,0.46427559609236707,齐鲁银行,hold
002157,2026-09-11,3.17,2.10736,0.4639734054107581,正邦科技,hold
688708,2026-09-11,41.08,1.29378,0.4639555785111848,佳驰科技,hold
600546,2026-09-11,13.3,1.32143,0.46379928165817036,山煤国际,hold
002120,2026-09-11,6.77,1.0013200000000002,0.46377072295812377,韵达股份,hold
688561,2026-09-11,27.6,1.13821,0.46349521643080116,奇安信,hold
600170,2026-09-11,2.23,1.35155,0.4632754122701857,上海建工,hold
002152,2026-09-11,9.45,0.9102049999999998,0.4631548692761584,广电运通,hold
002432,2026-09-11,61.4,4.410394999999999,0.4631032885580183,九安医疗,hold
002966,2026-09-11,9.3,0.832675,0.46289840126809445,苏州银行,hold
603308,2026-09-11,43.36,3.22098,0.4628859209685183,应流股份,hold
300718,2026-09-11,52.67,3.5755900000000005,0.4623186121416157,长盛轴承,hold
001286,2026-09-11,9.76,1.8775400000000002,0.462308417801579,陕西能源,hold
300496,2026-09-11,54.45,2.8489,0.46175162681879095,中科创达,hold
600536,2026-09-11,31.49,3.6571599999999997,0.4615164766124736,中国软件,hold
002850,2026-09-11,171.4,1.680695,0.46114174798138874,科达利,hold
688772,2026-09-11,13.92,2.1822550000000005,0.46098246406010973,珠海冠宇,hold
603179,2026-09-11,37.5,3.11633,0.46093591923707217,新泉股份,hold
603589,2026-09-11,17.55,0.8979000000000001,0.4604167560541664,口子窖,hold
688301,2026-09-11,88.54,1.465835,0.46039776524804504,奕瑞科技,hold
002271,2026-09-11,10.33,2.9258300000000004,0.4599814094285127,东方雨虹,hold
002007,2026-09-11,12.8,0.8752800000000001,0.45967719532777146,华兰生物,hold
300002,2026-09-11,8.1,1.6819100000000002,0.45960585569163004,神州泰岳,hold
000415,2026-09-11,4.49,1.1447749999999999,0.45948145634856735,渤海租赁,hold
600008,2026-09-11,2.79,0.9079599999999999,0.459154918998098,首创环保,hold
601233,2026-09-11,23.41,2.05186,0.4589321906493333,桐昆股份,hold
002472,2026-09-11,34.64,2.958495,0.4587132753137373,双环传动,hold
000937,2026-09-11,4.53,1.1585100000000002,0.4586896035640654,冀中能源,hold
002281,2026-09-11,177.36,4.081365,0.45863431870151106,光迅科技,hold
600535,2026-09-11,14.02,0.94503,0.4585762105818348,天士力,hold
301536,2026-09-11,110.9,7.302244999999999,0.4581874780527417,星宸科技,hold
688248,2026-09-11,50.3,0.89031,0.4581808052056597,南网科技,hold
300001,2026-09-11,32.84,1.32778,0.4581086141811307,特锐德,hold
300623,2026-09-11,28.79,3.15321,0.4579169508731611,捷捷微电,hold
000039,2026-09-11,9.17,1.572355,0.4576615723554746,中集集团,hold
600299,2026-09-11,8.46,1.247175,0.45760553759901035,安迪苏,hold
688052,2026-09-11,225.0,1.9608899999999998,0.45753795724907226,纳芯微,hold
601108,2026-09-11,8.2,1.35076,0.4575075880161408,财通证券,hold
600711,2026-09-11,11.3,3.56266,0.45746338601559433,盛屯矿业,hold
688281,2026-09-11,51.89,0.8893650000000001,0.4570522504459268,华秦科技,hold
600256,2026-09-11,7.02,2.347475,0.456796932677965,广汇能源,hold
688019,2026-09-11,219.0,2.48032,0.4562091815999239,安集科技,hold
688728,2026-09-11,13.88,0.9438899999999999,0.45599529467142297,格科微,hold
601555,2026-09-11,8.4,0.854025,0.4557038340960507,东吴证券,hold
688676,2026-09-11,63.26,3.362915,0.45556178563731303,金盘科技,hold
000739,2026-09-11,21.94,1.83018,0.4555016610846047,普洛药业,hold
688192,2026-09-11,53.07,1.34909,0.45531155126634776,迪哲医药,hold
000661,2026-09-11,71.46,1.681615,0.4546398453342352,长春高新,hold
300972,2026-09-11,181.12,1.05643,0.45438430917789113,万辰集团,hold
000623,2026-09-11,17.65,1.0251249999999998,0.45412481725753057,吉林敖东,hold
600562,2026-09-11,28.26,0.96667,0.4541079897445937,国睿科技,hold
600390,2026-09-11,4.89,0.9045500000000001,0.4535986664510657,五矿资本,hold
600977,2026-09-11,12.76,1.402545,0.4531166847440826,中国电影,hold
000591,2026-09-11,4.37,0.9245600000000002,0.4530781144761343,太阳能,hold
600988,2026-09-11,44.39,3.83598,0.45268955750569007,赤峰黄金,hold
000629,2026-09-11,2.94,0.900155,0.45219372768535887,钒钛股份,hold
002773,2026-09-11,19.01,0.933245,0.45123029215244115,康弘药业,hold
002266,2026-09-11,4.79,1.387495,0.45105882921035384,浙富控股,hold
001386,2026-09-11,15.31,4.7456949999999996,0.45104547567936687,马可波罗,hold
300373,2026-09-11,84.36,2.81783,0.45072248300422035,扬杰科技,hold
000088,2026-09-11,4.58,0.9600249999999999,0.45041733666482514,盐田港,hold
